cytoband	8p22	9p21.3	18q21.2	8p11.22	22q13.33	16p13.3	4q34.3	1p36.31	20p12.3	21q21.1	10q25.1	17p13.3	15q12	3p26.1	6q26	16q24.1	19q11	17p12	11q22.1	11p11.2	2q22.1	
	DOCK5		ALPK2					PTCHD2	LOC339593		FRAT1	SNORA67	NIPA1	ROBO1	HLA-DQA1	DEF8		GABARAP	REXO2		FOSL2	
	FLJ14107		LOXHD1					HES4	RSPO4		ACTR1A	PELP1	PLA2G4E	ROBO2	HLA-DQA2	DUS2L		NLRP1	OR8G2		FRZB	
	TTI2		INO80C					MIIP	TGM6		SMNDC1	RANGRF	TRIM69	RPL15	HLA-DQB1	CHTF8		ARHGEF15	OR8B8		FSHR	
	REEP4		FAM69C					CELA2A	LINC00493		NPM3	TIMM22	PAR1	RPL24	HLA-DQB2	TXNL4B		RAP1GAP2	OR8G1		FTH1P3	
	STMN4		STARD6					PRDM16	DEFB132		GLRX3	TAX1BP3	C15orf43	RPL29	HLA-DRA	BANP		CAMTA2	TIMM8B		GAD1	
	SOX7		C18orf25					NMNAT1	C20orf202		RPP30	MINK1	LOC145845	RPL32	HLA-DRB1	PDPR		KDM6B	OR8B2		GALNT3	
	FAM167A		CCBE1					VWA1	MIR103A2		DPYSL4	GEMIN4	TMCO5A	SATB1	HLA-DRB5	RFWD3		ZZEF1	CHORDC1		GBX2	
	SLC35G5		CBLN2					PRAMEF1	DZANK1-AS1		TACC2	MED31	ZSCAN29	ATXN7	HLA-DRB6	LRRC36		MPRIP	ACAD8		GCG	
	LINC00208		MCART2					PRAMEF2	RAD21L1		SORBS1	DERL2	TTBK2	SCN5A	HLA-E	DDX19A		KIAA0664	B3GAT1		GCKR	
	C8orf12		DSG4					NADK	LOC643406		ERLIN1	GLOD4	CDAN1	SCN10A	HLA-F	FBXL8		SMG6	DCPS		MSTN	
	MAK16		C18orf54					EFHD2	SNORA51		LBX1	YBX2	STRC	SEC13	HLA-G	SMPD3		WSCD1	C11orf54		GFPT1	
	FUT10		TCEB3C					MMEL1	SNORD17		NRG3	ANKFY1	CSNK1A1P1	SEMA3F	HLA-H	ZNF821		CTDNEP1	ZBTB44		GGCX	
	FAM86B1		FBXO15					RSG1	SNORD86		MGEA5	INPP5K	OTUD7A	SETMAR	HLA-J	ZDHHC7		TNFRSF13B	THYN1		GLI2	
	ERI1		ZBTB7C					OR4F5	SNORD110		TUBGCP2	FAM64A	SPRED1	SLC6A1	HLA-L	VAC14		PIK3R5	DDX25		GLS	
	LONRF1		SKA1					NOL9	LOC728228		PRDX3	XAF1	PGBD4	SLC6A6	HMGA1	FTSJD1		C17orf81	NOX4		GPC1	
	CHMP7		CCDC11					AGMAT	SNORD119		C10orf116	C17orf59	ADAL	SLC6A11	HSF2	DDX28		SHPK	NTM		GPD2	
	RP1L1		DOK6					LINC00115	LOC100128496		VAX1	GPR172B	EXD1	SLC15A2	HSPA1A	TSNAXIP1		AIPL1	CDON		GPR1	
	CLDN23		RNF152					MORN1	LOC100130264		ATE1	WRAP53	FSIP1	SMARCC1	HSPA1B	CENPN		RNF167	SIDT2		GPR17	
	VPS37A		LINC00305					GPR157	LOC100131208		LDB3	RNMTL1	RHOV	STAC	HSPA1L	C16orf61		SENP3	TRAPPC4		GPR35	
	NKX2-6		ZNF396					SPSB1	LOC100134015		SEC23IP	VPS53	UBR1	NEK4	HSP90AB1	THAP11		OR1A2	CWC15		GPR39	
	SGCZ		C18orf26					GLTPD1	LOC100270804		RAB11FIP2	C17orf85	PATL2	SYN2	HTR1B	JPH3		SNORA67	SPA17		GRB14	
	DEFB104A		BOD1P					TAS1R2	TMEM239		CPEB3	TSR1	LPCAT4	TCTA	HTR1E	PDP2		SNORD49A	FXYD6		MSH6	
	LOC157273		LOC284260					TAS1R1	LOC100289473		INPP5F	DHX33	PLA2G4F	TDGF1	ID4	RANBP10		PELP1	CNTN5		GTF3C2	
	SGK223		SIGLEC15					OR4F16	MIR1292		DUX4	C17orf48	LRRC57	TGM4	IFNGR1	VAT1L		RANGRF	SIAE		GYPC	
	PEBP4		ZADH2					ACTL8	MIR103B2		NT5C2	PLSCR3	C15orf55	TGFBR2	IGF2R	KIAA1609		TIMM22	C11orf71		HADHA	
	CDCA2		C18orf62					CCNL2	PCNA-AS1		PDCD11	ZNF286A	LOC283683	THRB	IL17A	WFDC1		TAX1BP3	ROBO4		HADHB	
	ESCO2		LOC284276					ESPN	PET117		SORCS3	NLGN2	OR4N4	TIMP4	IMPG1	PDF		MINK1	SLC35F2		HDLBP	
	FBXO16		HMSD					TAS1R3	MACROD2-AS1		WAPAL	ZBTB4	LOC283710	TKT	IRF4	DPEP2		GEMIN4	RAB39A		HK2	
	LOC157627		LOC284294					ATAD3B	MIR3192		PPRC1	CXCL16	FAM98B	TMF1	ITPR3	DPEP3		MED31	BTG4		HNMT	
	C8orf42		LOC339298					PLEKHN1	LOC100505536		FAM175B	TRAPPC1	PLA2G4D	CLEC3B	JARID2	MTHFSD		DERL2	FAM55D		TLX2	
	ERICH1		CPLX4					SLC25A33	LOC100507495		RRP12	ALOXE3	HERC2P3	TNNC1	KIFC1	ACD		FAM18B1	ANKRD49		HOXD1	
	TDH		C18orf34					DDI2	LOC100507629		TBC1D12	ELAC2	GOLGA6L1	TOP2B	KIF25	DBNDD1		GLOD4	TTC12		HOXD3	
	C8orf48		ATP9B					LZIC	FKBP1A-SDCBP2		DNMBP	SRR	GOLGA8G	NR2C2	KPNA5	FA2H		YBX2	C11orf57		HOXD4	
	ZNF596		LOC390858					C1orf170			FRAT2	NXN	GOLGA8IP	UBA7	LAMA2	FAM65A		MYO15A	ELMOD1		HOXD8	
	DEFT1P		LOC400654					CROCCP2			IFIT5	TEKT3	SNORD108	UBE2E1	LAMA4	TMEM231		TRPV2	FOXRED1		HOXD9	
	R3HCC1		LOC400655					IGSF21			DPCD	MIS12	SNORD109A	UBE2E2	LPA	TMCO7		ANKFY1	KDM4D		HOXD10	
	PRSS55		LOC400657					KIAA1751			SEC31B	METTL16	SNORD109B	UBP1	LTA	WDR59		RASD1	SCN3B		HOXD11	
	C8orf74		MIR122					KIAA2013			ATRNL1	PHF23	SNORD115-1	UPK1B	LTB	ELMO3		INPP5K	VPS11		HOXD12	
	LGI3		MIR187					THAP3			C10orf137	FAM57A	WHAMMP3	USP4	MARCKS	KLHL36		FAM64A	TEX12		HOXD13	
	DEFB105A		HSBP1L1					C1orf158			LRIT1	CTC1	POTEB	UQCRC1	MAK	FBXO31		XAF1	CRTAM		HPCAL1	
	DEFB106A		WBP11P1					FBXO44			TCTN3	NDEL1	FMN1	VHL	MAN1A1	ESRP2		C17orf59	TMPRSS4		AGFG1	
	DEFB107A		RNF165					CROCCP3			C10orf12	PITPNM3	SNORD64	VIPR1	MAS1	CENPT		ALKBH5	IFT46		DNAJB2	
	DEFB109P1		C18orf32					FHAD1			ANKRD2	TMEM93	PAR4	WNT5A	MCM3	C16orf70		TTC19	C11orf75		HSPD1	
	DEFB130		KC6					LOC115110			CNNM1	RILP	PAR-SN	WNT7A	MDFI	CYB5B		GPR172B	PRDM10		HSPE1	
	NEIL2		LOC643542					RBP7			MYOF	TEKT1	LOC348120	XPC	ME1	CMIP		MED9	TRIM49		FOXN2	
	LOC254896		C18orf63					ACAP3			DUX2	GSG2	MRPL42P5	ZNF35	MEA1	GFOD2		WRAP53	DSCAML1		HTR2B	
	FLJ10661		LOC647946					UBE2J2			ANKRD1	ZMYND15	C15orf52	ZNF80	MAP3K4	CDT1		RNMTL1	GRAMD1B		ID2	
	XKR6		SCARNA17					LRRC38			GHITM	CAMKK1	GOLGA8E	BRPF1	MAP3K5	MAP1LC3B		VPS53	KIAA1377		IDH1	
	LOC286059		SNORA37					AADACL3			PDCD4	RPAIN	OR4M2	IFRD2	MEP1A	PMFBP1		C17orf85	ARHGAP20		SP110	
	LOC286083		TCEB3CL					PUSL1			VENTX	TMEM107	OR4N3P	MAPKAPK3	MICB	DYNLRB2		TSR1	USP28		IGFBP2	
	EFHA2		ZSCAN30					B3GALT6			C10orf28	LSMD1	HERC2P2	SEMA3B	MLN	HSDL1		DHX33	CARD18		IGFBP5	
	LOC286114		SNORD58C					IFFO2			POLL	NEURL4	C15orf53	SLMAP	MLLT4	CRISPLD2		NT5M	AASDHPPT		IHH	
	SCARA5		LOC100130522					TPRG1L			BLNK	ZNF594	C15orf54	MANF	MOCS1	C16orf48		C17orf48	PKNOX2		IL1A	
	LOC286135		LOC100131655					FAM213B			KCNIP2	HES7	DUOXA2	COLQ	MOG	SLC7A6OS		PLSCR3	TP53AIP1		IL1B	
	LOC340357		LOC100287225					KLHDC7A			CUZD1	SPATA22	MIR211	ACOX2	MSH5	COG8		ZNF286A	MMP27		IL1R1	
	LOC349196		MIR302F					ARHGEF19			CALY	MGC12916	NF1P2	BAP1	MUT	SPIRE2		ZNF287	ABCG4		IL1RN	
	USP17L2		MIR1539					ACTRT2			EXOSC1	TXNDC17	HERC2P9	EOMES	MYB	ZNF469		ZNF624	ROBO3		CXCR1	
	XKR5		MIR4319					MIB2			CALHM2	MIR22HG	WHAMMP2	HYAL3	MYO6	B3GNT9		NLGN2	C11orf1		CXCR2	
	FAM90A25P		MIR4318					C1orf127			CUTC	TMEM88	GOLGA8B	CAMK1	RPL10A	CIRH1A		ZBTB4	TAF1D		CXCR2P1	
	LOC389641		MIR4320					SAMD11			PLCE1	MYOCD	EIF2AK4	CGGBP1	NEDD9	ZNRF1		CXCL16	RNF26		INHA	
	C8orf80		LOC100505474					LOC148413			CHST15	CDRT7	CATSPER2P1	BHLHE40	NEU1	CNTNAP4		TRAPPC1	FAM118B		INHBB	
	LOC392196		LOC100505549					PHF13			SUFU	CDRT15P1	LOC503519	CADPS	NFKBIE	MARVELD3		ALOXE3	DYNC2H1		INPP1	
	MIR124-1		LOC100505776					CCDC27			ACSL5	SAT2	CKMT1A	HYAL2	NFKBIL1	MTSS1L		ELAC2	NLRX1		INPP4A	
	MIR320A		LOC100505817					C1orf64			PANK1	SMYD4	SERINC4	B4GALT4	NFYA	CENPBD1		SRR	C11orf61		INPP5D	
	DEFB103A		LOC100506888					SLC2A7			FAM190B	CNTROB	C15orf62	SUCLG2	NMBR	ZNF276		NXN	CCDC82		ITGA6	
	OR4F21		RPL17-C18ORF32					CALML6			EXOC6	RPL29P2	C15orf56	HESX1	NQO2	KCNG4		TEKT3	ALG9		IRS1	
	FAM90A13		MIR3975					TMEM201			FAM35A	CYB5D1	PHGR1	KAT2B	NOTCH4	SDR42E1		MIS12	CLMP		ITGA4	
	FAM90A5		MIR4529					C1orf86			CCNJ	OVCA2	LOC645212	NR1I2	NT5E	PKD1L2		C17orf39	PDZD3		ITGAV	
	FAM90A7		MIR3591					C1orf126			MARCH5	USP43	CHEK2P2	BSN	OPRM1	RNF166		METTL16	C11orf63		ITGB6	
	FAM90A8		MIR4743					ATAD3C			ZRANB1	KRBA2	LOC646214	LIMD1	PARK2	EXOSC6		PHF23	CCDC15		KCNF1	
	FAM90A18		MIR4744					AKR7L			TTC40	SLC43A2	CXADRP2	KALRN	PBX2	C16orf46		FAM57A	PDGFD		KCNJ3	
	FAM90A9		LOC100652770					LOC254099			NSMCE4A	CYB5D2	LOC646278	CCRL2	PCMT1	DNAAF1		FAM106A	TMPRSS5		KCNJ13	
	FAM90A10							TTLL10			CNNM2	C17orf49	REREP3	UBA3	PDCD2	NRN1L		CTC1	PUS3		KCNK3	
	DEFA10P							NPHP4			C10orf26	ZFP3	LOC653061	RPL14	ENPP1	CMTM3		NDEL1	MFRP		KCNS3	
	MIR383							FAM41C			C10orf118	GGT6	LOC653075	SEC22C	ENPP3	SPATA2L		PITPNM3	JAM3		KHK	
	DEFB107B							LOC284661			CRTAC1	SPNS2	MIR626	RRP9	PEX6	C16orf55		LRRC48	BCO2		KIF3C	
	DEFB104B							SLC25A34			CEP55	WDR81	MIR627	LRRFIP2	PEX7	ZC3H18		TMEM93	TMEM133		KIF5C	
	DEFB106B							ESPNP			CWF19L1	DNAH2	ANP32AP1	MAGI1	PGC	CDYL2		RILP	TMPRSS13		AFF3	
	DEFB105B							C1orf174			RNLS	RTN4RL1	SNORD116-19	CACNA2D2	PGK2	TMEM170A		TEKT1	DCUN1D5		LCT	
	C8orf58							KLHL17			PI4K2A	CDRT15	GOLGA6L6	SLC22A14	PGM3	SLC38A8		GSG2	KIAA1826		LHCGR	
	DEFB135							TMEM240			HIF1AN	WDR16	LOC727924	SLC22A13	PHF1	ZFP90		ZMYND15	MAML2		LIMS1	
	DEFB136							TMEM52			WDR11	CCDC42	LOC728758	SH3BP5	SERPINB6	RLTPR		CAMKK1	KIRREL3		LRP2	
	DEFB134							AADACL4			FAM178A	PIK3R6	OIP5-AS1	SLC4A7	SERPINB9	KCTD19		RPAIN	BUD13		LTBP1	
	C8orf75							PRAMEF5			DHX32	ODF4	GOLGA8C	STXBP5L	PIM1	CMTM4		TMEM107	TMEM25		LY75	
	MBOAT4							HNRNPCL1			PPP2R2D	KCTD11	PWRN1	GUCA1C	PKHD1	CMTM2		LSMD1	RPUSD4		EPCAM	
	DEFB109P1B							PRAMEF9			FAM45B	MFSD6L	PWRN2	IQCB1	PLAGL1	SLC22A31		NEURL4	TBRG1		MXD1	
	RPL23AP53							PRAMEF10			TDRD1	TRPV3	SNORD116-1	DZIP3	PLG	IL34		ZNF594	UBASH3B		MAL	
	FAM90A14							FAM131C			BCCIP	SLC16A11	SNORD116-2	VGLL4	PLN	TMED6		HES7	C11orf70		MAP2	
	FAM86B2							PADI6			C10orf2	FBXO39	SNORD116-3	EDEM1	POLH	FLJ30679		SPATA22	DIXDC1		MAT2A	
	SPAG11A							C1orf187			TM9SF3	DHRS7C	SNORD116-4	VPRBP	POU3F2	LOC146513		MGC12916	KIAA1731		MATN3	
	MIR596							SPATA21			ENTPD7	FAM18B2	SNORD116-5	TBC1D5	POU5F1	ZFPM1		TXNDC17	ZC3H12C		MCM6	
	MIR597							AGRN			AS3MT	SLC16A13	SNORD116-6	TATDN2	PPARD	ADAD2		MIR22HG	GLB1L2		MDH1	
	MIR598							APITD1			STAMBPL1	C17orf74	SNORD116-7	IP6K1	PPP1R10	ZFP1		ATPAF2	ESAM		MEIS1	
	DEFA1B							GPR153			GPAM	SPNS3	SNORD116-8	EPM2AIP1	PPP2R5D	ADAMTS18		TMEM88	ALKBH8		MGAT5	
	FAM90A20							FAM132A			KIAA1598	C17orf61	SNORD116-9	PSMD6	PREP	MGC23284		MYOCD	FDXACB1		MPV17	
	FAM90A19							HES5			FAM160B1	BCL6B	SNORD116-10	TOMM70A	PRIM2	LINC00311		CDRT7	C11orf52		MYO1B	
	ZNF705D							LOC388588			SEMA4G	LOC284009	SNORD116-11	TRANK1	PKIB	LDHD		CDRT15P1	VPS26B		MSH2	
	LOC100128750							RNF207			PLEKHA1	VMO1	SNORD116-12	SRGAP3	MAPK13	FUK		SAT2	GLB1L3		MTIF2	
	FAM66B							TMEM82			AVPI1	LOC284023	SNORD116-13	IQSEC1	PRL	MLKL		SMYD4	TIRAP		MYCN	
	LOC100128993							HES3			HPSE2	LINC00324	SNORD116-14	DLEC1	PSMB1	ZNF778		CNTROB	CARD16		MYL1	
	ZNF705G							PRAMEF12			FAM204A	FLJ34690	SNORD116-15	EXOG	PSMB8	ACSF3		RPL29P2	C1QTNF5		MYO7B	
	FAM66E							PRAMEF21			LHPP	CDRT4	SNORD116-16	XYLB	PSMB9	CCDC79		CYB5D1	TMEM123		NAB1	
	LOC100132396							PRAMEF8			MMS19	SLC13A5	SNORD116-17	OXSR1	PTK7	CES4A		OVCA2	PANX3		NCL	
	FAM66D							PRAMEF18			NOC3L	TMEM102	SNORD116-18	NR1D2	PTPRK	EXOC3L1		USP43	APOA5		NEB	
	FAM66A							PRAMEF17			IKZF5	TUSC5	SNORD116-20	PDCD6IP	RGL2	LINC00304		KRBA2	SLC36A4		NDUFA10	
	LOC100133267							PRAMEF4			ZDHHC6	LOC339166	SNORD116-21	PARP3	PRPH2	HTA		SLC43A2	FAT3		NDUFB3	
	LOC100287015							PRAMEF13			CUEDC2	TMEM95	SNORD116-22	COX17	REV3L	LOC283922		CYB5D2	TRIM64		NDUFS1	
	DEFT1P2							RNF223			FBXL15	SMTNL2	SNORD116-23	ARPC4	TRIM27	NUDT7		C17orf49	TMEM45B		SEPT2	
	DEFB4B							PRAMEF3			C10orf76	ALOX15P1	SNORD116-24	ZNF197	RHAG	PDXDC2P		ZFP3	C11orf93		NEU2	
	MIR1322							MIR200A			HPS6	TBC1D26	SNORD116-25	RBM6	RING1	CLEC18C		GGT6	PIH1D2		NEUROD1	
	MIR548I3							MIR200B			MMRN2	FAM101B	SNORD115-2	RBM5	BRD2	SNAI3		SPNS2	FAM55A		NFE2L2	
	MIR4287							MIR34A			TMEM180	CDRT1	SNORD116-26	NME6	RNF5	FAM92B		WDR81	FAM55B		NPAS2	
	MIR3148							FLJ42875			MCMBP	SPEM1	SNORD116-27	CTDSPL	RNY4	ATXN1L		C17orf76-AS1	AMICA1		NPHP1	
	MIR4288							PRAMEF11			C10orf95	GLTPD2	SNORD115-3	CD96	ROS1	PKD1L3		ZSWIM7	FAM76B		NPPC	
	MIR3926-2							PRAMEF6			C10orf81	INCA1	SNORD115-4	EIF1B	RPS6KA2	CLEC18A		SMCR7	SESN3		NR4A2	
	MIR3622A							LOC440563			PDZD7	SCIMP	SNORD115-5	TRAIP	RPS10	CTU2		SMCR5	PIWIL4		ODC1	
	MIR3926-1							UQCRHL			OBFC1	C17orf100	SNORD115-6	TFG	RPS12	C16orf86		SMCR8	ARHGAP42		ORC2	
	MIR3622B							ANKRD65			C10orf88	SPDYE4	SNORD115-7	ST3GAL6	RPS18	PABPN1L		SMCR9	KBTBD3		ORC4	
	LOC100506990							PRAMEF7			UBTD1	TMEM220	SNORD115-8	ARIH2	RREB1	LOC400548		TOM1L2	CWF19L2		OTX1	
	LOC100507156							MIR429			FAM213A	SHISA6	SNORD115-9	TADA3	RXRB	LOC400550		DNAH2	KDELC2		REG3A	
	LOC100507341							FAM138F			WDR96	OR3A4P	SNORD115-10	CRTAP	VPS52	LOC400558		RTN4RL1	LAYN		PAX3	
	MIR548O2							LOC643837			LRRC27	SLC25A35	SNORD115-11	ATG7	ATXN1	C16orf74		CDRT15	TTC36		PCBP1	
	MIR4659A							TMEM88B			TNKS2	C17orf97	SNORD115-12	ARL6IP5	SRSF3	MIR140		WDR16	AMOTL1		PDCD1	
	MIR4660							C1orf233			TRIM8	MED11	SNORD115-13	NPRL2	SGK1	CTRB2		CCDC42	CCDC67		PDE1A	
	MIR4659B							C1orf200			TSPAN14	MIR132	SNORD115-14	CXCR6	SIM1	MIR328		PIK3R6	PATE1		PDE6D	
	LOC100652791							PRAMEF19			KAZALD1	MIR195	SNORD115-15	CSPG5	SKIV2L	CLEC18B		ODF4	C11orf65		PDK1	
								PRAMEF20			SFXN3	MIR212	SNORD115-16	POLQ	SLC17A1	SNORD68		KCTD11	ADAMTS15		PEX13	
								FAM138A			SLC25A28	MIR22	SNORD115-17	CHL1	SLC22A1	KIAA0895L		TRIM16L	MPZL3		VIT	
								LOC649330			ELOVL3	TNFSF12-TNFSF13	SNORD115-18	ARPP21	SLC22A3	SNORD71		MFSD6L	FOLH1B		SERPINE2	
								PRAMEF22			MARVELD1	RNASEK	SNORD115-19	CCR9	SLC22A2	SNORD111		TRPV3	C11orf45		PIGF	
								PRAMEF15			PCGF6	MIR324	SNORD115-20	USP19	SMPD2	LOC727710		SLC16A11	HYLS1		PLCL1	
								WASH7P			LOXL4	MIR497	SNORD115-21	PDIA5	SNRPC	LOC729513		FBXO39	TMEM218		PLEK	
								PRAMEF16			ZDHHC16	SLC35G6	SNORD115-22	SLC38A3	SOD2	LOC732275		USP32P1	SLC37A2		PLGLB2	
								SNORA59B			C10orf58	RNF222	SNORD115-23	CYB561D2	SOX4	SNORD111B		DHRS7C	OR8B12		PLGLB1	
								SNORA59A			DYDC2	PIRT	SNORD115-25	TMEM115	SRF	LOC100128881		FAM18B2	OR8G5		PMS1	
								MIR551A			PCGF5	CDRT15P2	SNORD115-26	RPP14	SRPK1	LOC100129617		CENPV	OR10G8		POLR2D	
								CDK11A			GPR123	SNORA48	SNORD115-29	HHLA2	SSR1	LOC100130015		FLCN	OR10G9		POMC	
								SLC35E2B			LZTS2	SNORD10	SNORD115-30	FSTL1	ELOVL4	LOC100130894		PLD6	OR10S1		POU3F3	
								LOC728716			LCOR	OR1D4	SNORD115-31	FAM107A	T	SYCE1L		SLC16A13	OR6T1		PPM1B	
								PRAMEF14			NKX6-2	SCARNA21	SNORD115-32	WDR6	TAF11	LOC100287036		C17orf74	OR4D5		PPM1G	
								FLJ37453			MRPL43	SNORD91A	SNORD115-33	RASSF1	MAP3K7	MIR1538		SPNS3	TBCEL		PPP1CB	
								LOC729737			AFAP1L2	SNORD91B	SNORD115-34	NISCH	TAP1	MIR1972-1		USP32P2	TMEM136		PPP1R7	
								OR4F29			PYROXD2	BHLHA9	SNORD115-35	FILIP1L	TAP2	MIR1910		TBC1D28	SPATA19		PPP3R1	
								LOC100129534			USMG5	TLCD2	SNORD115-36	TREX1	TAPBP	SNORA70D		C17orf61	HEPACAM		PRKCE	
								LOC100130417			ATAD1	LOC728392	SNORD115-37	SCN11A	TBCC	MIR3182		BCL6B	OAF		EIF2AK2	
								LOC100132062			ARHGAP19	MIR744	SNORD115-38	TUSC2	TBP	MIR1972-2		LOC284009	ANGPTL5		PROC	
								LOC100132287			KNDC1	LOC100128288	SNORD115-39	TWF2	TCF19	LOC100506083		VMO1	ANKK1		PSMD1	
								LOC100133331			ITPRIP	C17orf107	SNORD115-40	TRAK1	TCF21	LOC100506172		LOC284023	RNF214		PTH2R	
								LOC100133445			LINC00263	LOC100130950	SNORD115-41	DHX30	TCP1	C16orf95		LINC00324	LOC283143		PTMA	
								LOC100133612			MTG1	DBIL5P	SNORD115-42	SACM1L	TCP10	MIR4720		FLJ34690	BCL9L		PTPN4	
								DDX11L1			CDHR1	LOC100289255	SNORD115-43	SCAP	TCP11	MIR4722		CDRT4	FOXR1		PTPRN	
								TTC34			BBIP1	MIR1253	SNORD115-44	LAMB2P1	TCTE3	MIR4719		CCDC144B	CCDC153		RAB1A	
								LOC100288069			FANK1	LOC100306951	SNORD116-28	MYH15	PPP1R11			SLC13A5	OR8D1		RALB	
								NPPA-AS1			OPALIN	MIR3183	SNORD116-29	EXOSC7	DYNLT1			TMEM102	OR8D2		RANBP2	
								MIR4251			SYCE1	MIR4314	SNORD115-48	PDZRN3	TEAD3			TUSC5	OR8B4		RBMS1	
								MIR4252			OPN4	MIR3676	SNORD115-24	CAND2	TFAP2A			LOC339166	KIRREL3-AS3		REL	
								MIR3675			HOGA1	LOC100506388	SNORD115-27	CLASP2	TFAP2B			TMEM95	LOC283174		REG1A	
								ENO1-AS1			SORCS1	LOC100506713	SNORD115-28	RAD54L2	THBS2			LOC339240	LOC283177		REG1B	
								LOC100506730			PRAP1	MIR497HG	SNORD115-45	FRMD4B	NR2E1			SMTNL2	CCDC84		REG1P	
								APITD1-CORT			ZNF511	RNASEK-C17ORF49	SNORD115-47	STAB1	TNF			ALOX15P1	TMEM225		SNORD20	
								MIR4695			C10orf90	C17orf61-PLSCR3	LOC100128714	GPD1L	TNFAIP3			TBC1D26	OR8D4		RPE	
								MIR4689			BTBD16	FAM18B2-CDRT4	LOC100131089	RFTN1	TNXA			FAM101B	C11orf53		RPL31	
								MIR4632			FAM24A	SENP3-EIF4A1	ANKRD63	NBEAL2	TNXB			CDRT1	LOC341056		RPL37A	
								MIR4417			PSTK	P2RX5-TAX1BP3	HERC2P7	NUP210	TPBG			SPEM1	HEPHL1		RPS7	
											PIK3AP1	MIR4731	GOLGA8F	PLCL2	TPD52L1			GLTPD2	C11orf34		RPS27A	
											MORN4	MIR4520A	GOLGA8DP	ANKRD28	TPMT			INCA1	VSTM5		RRM2	
											ZFYVE27	MIR4521	JMJD7	FAM208A	CRISP2			SCIMP	TRIM77P		RTKN	
											MMP21	MIR4520B	PLA2G4B	KLHL18	TSPYL1			C17orf100	FOLR4		SAG	
											FRA10AC1		ULK4P2	LARS2	TTK			SPDYE4	KDM4DL		SCN1A	
											ANKRD22		LOC100288615	RYBP	TUBB2A			TMEM220	BSX		SCN2A	
											SFXN2		LOC100288637	CAPN7	TULP1			SHISA6	OR6X1		SCN3A	
											PDZD8		LOC100289656	MKRN2	UTRN			FAM211A	OR6M1		SCN7A	
											C10orf32		MIR1233-1	NAT6	VARS			OR3A4P	OR10G4		SCN9A	
											NUDT9P1		MIR1282	FBXL2	VEGFA			SLC25A35	OR10G7		SCTR	
											AGAP11		MIR1233-2	ABHD14A	EZR			C17orf97	OR8B3		CCL20	
											GSTO2		MIR4310	C3orf17	VIP			MED11	OR8A1		SDC1	
											SFR1		MIR3942	POC1A	ZNF76			KRT16P2	LOC399939		SRSF7	
											CALHM3		LOC100505648	ABI3BP	ZNF165			MIR132	LOC399940		SFTPB	
											CTAGE7P		LOC100507466	CNOT10	TRIM26			MIR195	C11orf87		SIX3	
											CLRN3		SERF2-C15ORF63	TMEM158	ZNF184			MIR212	C11orf92		SLC4A3	
											PNLIPRP3		MIR4509-1	NDUFAF3	ZNF187			MIR22	C11orf88		SLC1A4	
											SFXN4		MIR4509-2	THUMPD3	ZNF192			TNFSF12-TNFSF13	MIR100HG		SLC3A1	
											CPXM2		MIR4508	MYRIP	ZNF193			RNASEK	PATE2		SLC8A1	
											C10orf129		MIR4510	PTPN23	ZNF204P			MIR324	PATE4		SLC9A2	
											LIPJ		MIR4509-3	PVRL3	PTP4A1			MIR497	FLJ39051		SLC11A1	
											CFL1P1		MIR4715	CHMP2B	DEK			SLC35G6	SNX19		SLC20A1	
											TRUB1		TMCO5B	DNAH1	ALDH5A1			RNF222	MIRLET7A2		SNRPG	
											VTI1A			HIGD1A	PRRC2A			PIRT	MIR100		SOS1	
											LOC143188			LRIG1	BAG6			CDRT15P2	MIR125B1		SOX11	
											DYDC1			SUSD5	GPANK1			EVPLL	MIR34B		SP3	
											EIF5AL1			ERC2	DDX39B			SNORA48	MIR34C		SP100	
											HECTD2			APPL1	ABHD16A			SNORD10	DDI1		SPAST	
											FGFBP3			HACL1	SLC39A7			OR1D4	BLID		SPP2	
											C10orf82			ZBTB20	HSD17B8			LGALS9C	CARD17		SPR	
											C10orf46			TTLL3	OR2H2			SCARNA21	LINC00167		SPTBN1	
											NKX2-3			OR5K1	RDBP			SNORD49B	SCARNA9		SRD5A2	
											SLC35G1			OR5H1	LST1			SNORD65	HEPN1		SSB	
											CCDC147			GNL3	PLA2G7			SNORD91A	TRIM64B		SSFA2	
											C10orf91			FAM162A	TFEB			SNORD91B	TRIM53P		STAT1	
											PWWP2B			SEC22A	STL			MIR33B	TRIM49L2		STAT4	
											LOC170425			FOXP1	EPM2A			BHLHA9	UBTFL1		STRN	
											EMX2OS			ZBTB11	HIST1H4I			TLCD2	LOC643037		SULT1C2	
											PPAPDC1A			MORC1	HIST1H2AI			LOC728392	LOC643733		ADAM17	
											PAOX			CNTN6	HIST1H2AK			ZNF286B	LOC643923		TACR1	
											FAM24B			LSM3	HIST1H2AJ			MIR744	CLDN25		GCFC2	
											LOC219347			RBMS3	HIST1H2AL			LOC100128288	LOC649133		TFPI	
											PLAC9			NKIRAS1	HIST1H2AC			FAM106CP	RPL23AP64		TGFA	
											EBF3			SPCS1	HIST1H2AB			C17orf107	SNORA8		TIA1	
											CALHM1			SETD2	HIST1H2AM			LOC100130950	SNORA1		TNFAIP6	
											CASC2			GTPBP8	HIST1H2BG			DBIL5P	SNORA18		TNP1	
