cytoband	9p21.3	4q35.2	8p11.22	8p23.2	2q22.1	15q26.1	1p13.2	18q23	9p23	3p12.1	5q13.3	7q11.22	15q11.2	
							UBR4				PCDHGB2			
							USP24				PCDHGB1			
							ATP13A2				PCDHGA11			
							ITGB3BP				PCDHGA10			
							TARDBP				PCDHGA9			
							CELA3B				PCDHGA7			
							SLC35A3				PCDHGA6			
							MACF1				PCDHGA5			
							LRRC8B				PCDHGA4			
							LPAR3				PCDHGA3			
							PADI4				PCDHGA2			
							DDAH1				PCDHGA1			
							TMEM50A				PCDHGB8P			
							KPNA6				PCDHB15			
							SSBP3				PCDHB14			
							STX12				PCDHB13			
							CLIC4				PCDHB12			
							SYF2				PCDHB11			
							RWDD3				PCDHB10			
							PARS2				PCDHB9			
							MMACHC				PCDHB8			
							ZZZ3				PCDHB7			
							ACOT11				PCDHB6			
							C1orf144				PCDHB4			
							LDLRAP1				PCDHB3			
							SERBP1				PCDHB2			
							PTPN22				PCDHAC2			
							PHGDH				PCDHAC1			
							FBXO2				PCDHA13			
							FBXO6				PCDHA12			
							PLA2G2D				PCDHA11			
							AK5				PCDHA10			
							MYCBP				PCDHA8			
							HEYL				PCDHA7			
							EIF2C1				PCDHA6			
							SNORA66				PCDHA5			
							SNORD45B				PCDHA4			
							SNORD45A				PCDHA3			
							SNORD55				PCDHA2			
							RNU11				PCDHA1			
							RNF11				VTRNA1-3			
							FOXD3				VTRNA1-2			
							TRAPPC3				VTRNA1-1			
							HSPB7				NMUR2			
							CHIA				FEM1C			
							AHDC1				C5orf15			
							TEKT2				CDC42SE2			
							SMPDL3B				TRPC7			
							ANGPTL3				KIAA1191			
							PRO0611				ERGIC1			
							LINC00339				CLK4			
							GNL2				ODZ2			
							GPSM2				CNOT6			
							UBIAD1				NLN			
							ALG6				ZNF608			
							PADI1				KCTD16			
							SLC25A24				SEMA6A			
							PLA2G2E				ARRDC3			
							DNTTIP2				ZSWIM6			
							SLC45A1				PCDHB16			
							HP1BP3				ANKRA2			
							TMED5				HMHB1			
							CELA2B				C5orf54			
							ZNF593				MCCC2			
							ZNF691				EPB41L4A			
							TXNDC12				CENPK			
							TNNI3K				ERAP2			
							SH3GLB1				RGNEF			
							MECR				NSD1			
							UTP11L				SIL1			
							MRTO4				GMCL1P1			
							HAO2				ARAP3			
							TMEM69				RMND5B			
							MRPL37				FBXL17			
							HOOK1				YTHDC2			
							SNX7				RANBP17			
							HPCAL4				SLC30A5			
							YTHDF2				CENPH			
							ZCCHC17				GPBP1			
							TRIM33				GRAMD3			
							DPH5				PCYOX1L			
							HSPB11				CCNJL			
							PADI3				SH3TC2			
							CMPK1				PANK3			
							GPR88				PARP8			
							ERRFI1				SAP30L			
							WNT4				ANKRD55			
							YIPF1				TXNDC15			
							FBXO42				MCTP1			
							CCDC76				PTCD2			
							RNF186				BTNL8			
							SPATA6				DOK3			
							L1TD1				ELOVL7			
							RSBN1				C5orf44			
							ZNHIT6				ZFP2			
							GPN2				RUFY1			
							LEPROT				CPEB4			
							FBLIM1				PRR7			
							MED18				NDFIP1			
							TRIT1				OR4F16			
							GIPC2				FBXO38			
							GDAP2				YIPF5			
							FAM46C				TRIM7			
							PALMD				TIGD6			
							FNBP1L				SPRY4			
							ST7L				MXD3			
							PQLC2				NUDT12			
							CASZ1				SLC4A9			
							RHBDL2				ATG10			
							ADPRHL2				SLC25A2			
							TRNAU1AP				SPATA9			
							C1orf109				TSSK1B			
							C1orf123				FAM172A			
							TTC22				PCDHB19P			
							AIM1L				GPR98			
							TMEM51				PCBD2			
							BSDC1				UTP15			
							XKR8				ZCCHC9			
							TMEM39B				PSD2			
							PRPF38B				ANKRD32			
							CDCA8				THOC3			
							LRRC8D				ZBED3			
							ARHGEF10L				GFM2			
							PRMT6				C5orf32			
							RNF220				MEGF10			
							VPS13D				SPINK7			
							FAM176B				SPZ1			
							TMEM57				TRIM52			
							TRIM62				HAVCR2			
							RAVER2				AGXT2L2			
							ECHDC2				C5orf62			
							FGGY				TSLP			
							MCOLN3				FCHSD1			
							SLC22A15				UNC5A			
							CAMK2N1				C5orf30			
							RNPC3				LYRM7			
							ASAP3				TRIM41			
							POMGNT1				SLC25A46			
							PNRC2				BOD1			
							LRRC40				CDKN2AIPNL			
							DEPDC1				COL23A1			
							PIGV				TIMD4			
							NBPF1				NDUFAF2			
							MAP7D1				ZNF300			
							TMEM48				MYOZ3			
							NECAP2				UBTD2			
							IQCC				MRPS36			
							LRIF1				ATP6AP1L			
							CTTNBP2NL				SCGB3A1			
							RCC2				PRDM6			
							FAM212B				FTMT			
							DMAP1				SFXN1			
							GNG12				FNIP1			
							TMEM234				SNX18			
							FAM54B				SLC35A4			
							CCBL2				GPRIN1			
							TMEM167B				PWWP2A			
							OLFML3				C1QTNF2			
							CTNNBIP1				EPB41L4A-AS1			
							C1orf63				MARCH3			
							AGTRAP				FCHO2			
							PITHD1				RAB3C			
							MAN1C1				LYSMD3			
							NIPAL3				LEAP2			
							SEPN1				SCGB3A2			
							AMIGO1				ZNF354B			
							ODF2L				C5orf35			
							KIAA1324				IL31RA			
							PTCHD2				EMB			
							LRRC7				SLCO6A1			
							KIF17				C5orf47			
							ZSWIM5				PPARGC1B			
							KIAA1522				PRRC1			
							CACHD1				JMY			
							MIER1				C5orf58			
							GRHL3				ZNF474			
							PTBP2				OR2Y1			
							DNASE2B				POU5F2			
							DLGAP3				AFAP1L1			
							IL22RA1				GRPEL2			
							HIVEP3				TMEM171			
							GPBP1L1				TMEM174			
							MIIP				LSM11			
							CELA2A				POC5			
							GPATCH3				GPR151			
							DMRTB1				STARD4			
							DMRTA2				WDR36			
							CLSPN				ZNF300P1			
							OXCT2				NUDCD2			
							RRAGC				UBLCP1			
							ELTD1				ACOT12			
							TINAGL1				SOWAHA			
							LEPRE1				SHROOM1			
							PLA2G2F				C5orf24			
							HIAT1				SREK1			
							SMAP2				C5orf20			
							ATPAF1				SLC38A9			
							S100PBP				SLC36A2			
							MEAF6				SPINK13			
							RBM15				C5orf41			
							DEM1				CEP120			
							CEP85				SLC25A48			
							NMNAT1				TMEM167A			
							ELOVL1				MBLAC2			
							DCLRE1B				TMEM161B			
							MRPS15				SRFBP1			
							PINK1				LOC153469			
							MARCKSL1				ZMAT2			
							PRAMEF1				MARVELD2			
							PRAMEF2				BTNL9			
							ZNF643				ARSK			
							SELRC1				FAM81B			
							PHACTR4				CCDC112			
							C1orf135				PPP1R2P3			
							ERI3				FAM71B			
							C1orf50				PRELID2			
							WDR77				SH3RF2			
							CCDC28B				PLAC8L1			
							EFHD2				RNF145			
							RSG1				MIER3			
							DLEU2L				CDC20B			
							NKAIN1				PAPD4			
							EPS8L3				DCP2			
							MUL1				LIX1			
							TMEM53				ZNF366			
							AKIRIN1				FAM151B			
							HECTD3				S100Z			
							BEND5				ADAMTS19			
							VTCN1				HIGD2A			
							YRDC				SPATA24			
							ZYG11B				DNAJC18			
							PPCS				FAM153B			
							LIN28A				LOC202181			
							SH3D21				CCDC125			
							TTLL7				C5orf27			
							SNIP1				GAPT			
							AGMAT				CMYA5			
							WDR78				STK32A			
							ZMYM1				AQPEP			
							RPAP2				SLC36A1			
							FAM110D				EIF4E1B			
							KIAA0319L				RASGEF1C			
							DHDDS				ANKRD31			
							DENND2D				SERINC5			
							WLS				LOC257358			
							GPR157				LOC257396			
							RPF1				EFCAB9			
							SIKE1				SH3PXD2B			
							ZC3H12A				LOC285593			
							SPSB1				FAM153A			
							TRIM45				ARL10			
							ZNF436				KIAA0825			
							TAS1R2				GPR150			
							GJA9				DTWD2			
							SYNC				RELL2			
							ACTL8				NBPF22P			
							ANKRD13C				LOC285626			
							TSSK3				LOC285627			
							VANGL1				LOC285629			
							ST6GALNAC5				SLC36A3			
							HYI				KIF4B			
							SH3BGRL3				OR2V2			
							SESN2				C5orf64			
							GPR61				RNF180			
							STK40				SREK1IP1			
							TM2D1				ZNF454			
							REG4				C5orf60			
							TMEM222				RGMB			
							SYDE2				RFESD			
							ZNF644				CHSY3			
							USP48				LOC340037			
							ZMYND12				TMEM173			
							NBPF3				FAM170A			
							LRRC8C				LOC340073			
							ZDHHC18				LOC340074			
							SGIP1				ARSI			
							SLC25A33				ANKRD34B			
							DDI2				PFN3			
							LZIC				ZNF879			
							PROK1				IRGM			
							EFCAB7				FBLL1			
							NT5C1A				IDAS			
							TRIM63				ACTBL2			
							PSRC1				FAM174A			
							FAM167B				MTX3			
							MGC12982				CATSPER3			
							CROCCP2				NIPAL4			
							HPDL				SLCO4C1			
							ATP1A1OS				TICAM2			
							AGBL4				DND1			
							MFSD2A				MAST4			
							ATG4C				C5orf25			
							PRPF38A				RNF138P1			
							SYTL1				FLJ38109			
							IGSF21				C5orf48			
							LSM10				LOC389332			
							C1orf94				C5orf65			
							SNHG12				C5orf46			
							FAM40A				ARHGEF37			
							DOCK7				RGS7BP			
							KIAA2013				C5orf63			
							C1orf201				SPINK6			
							SPOCD1				ANKHD1-EIF4EBP3			
							ZNF697				MIR103A1			
							BTF3L4				MIR143			
							UBXN11				MIR145			
							NEXN				MIR146A			
							C1orf158				MIR218-2			
							FBXO44				MIR9-2			
							ATPIF1				SPINK14			
							SNORD46				FNDC9			
							SNORD38A				CRSP8P			
							SNORD38B				FLJ42709			
							DNAJA1P5				C5orf56			
							MED8				FLJ16171			
							KTI12				MIR340			
							C1orf212				IGIP			
							ADC				GPX8			
							TMEM54				TIFAB			
							HENMT1				FLJ35946			
							TOE1				LOC553103			
							ERMAP				MIR449A			
							CSMD2				CTXN3			
							MYSM1				SNORD95			
							CROCCP3				SNORD96A			
							FHAD1				ECSCR			
							OSBPL9				LOC642366			
							OMA1				TMEM232			
							RAB42				C5orf43			
							LRRC42				LOC643201			
							GBP4				GRXCR2			
							GBP5				SPINK9			
							FAM46B				ZFP62			
							RBP7				LOC644100			
							SSX2IP				FLJ33630			
							OLFM3				LOC644936			
							CCDC163P				CCNI2			
							C1orf172				LINC00461			
							LRRC38				CBY3			
							AADACL3				LOC647859			
							WDR63				GUSBP3			
							MAB21L3				GTF2H2B			
							IFFO2				FAM153C			
							SLC44A3				SNORA13			
							ATXN7L2				SCARNA18			
							C1orf194				SNORA47			
							ASB17				SNORA74B			
							TYW3				MIR449B			
							C1orf173				MIR581			
							LRRIQ3				MIR583			
							MYOM3				MIR585			
							DMBX1				SNHG4			
							TMCO2				MIR143HG			
							ZNF684				GTF2H2C			
							TCEANC2				LOC728342			
							PODN				SERF1B			
							LRRC39				LOC728554			
							GJB4				LOC728723			
							HMGB4				LOC729080			
							RNF19B				AACSP1			
							C1orf122				LOC729678			
							OSCP1				OR4F29			
							C1orf216				GTF2H2D			
							KLHDC7A				GUSBP9			
							VWA5B1				VTRNA2-1			
							UBXN10				MIR874			
							C1orf87				LOC100129716			
							HSD3BP4				LRRC70			
							KLF17				LOC100131067			
							TMEM125				FAM196B			
							ARHGEF19				LOC100132062			
							DRAM2				LOC100132287			
							C1orf88				FAM159B			
							C1orf162				LOC100133050			
							SYT6				LOC100133331			
							C1orf127				LOC100170939			
							SAMD13				C5orf52			
							C1orf52				LOC100268168			
							TMEM56				LOC100272216			
							NBPF4				LOC100289230			
							UBE2U				LOC100289673			
							HFE2				MIR1289-2			
							SLC30A7				MIR1229			
							C1orf213				MIR103B1			
							KNCN				MIR1244-1			
							MOB3C				TMED7-TICAM2			
							GLIS1				NCRUPAR			
							MGC27382				LOC100303749			
							DCDC2B				MIR2277			
							ZNF362				MIR449C			
							LOC149086				MIR1244-3			
							MANEAL				MIR1244-2			
							IL23R				MIR4280			
							PDIK1L				MIR3142			
							CLDN19				MIR3141			
							WDR65				MIR4281			
							C1orf210				MTRNR2L2			
							CCDC24				MIR3607			
							BTBD19				MIR3655			
							CCDC17				MIR3660			
							C1orf64				MIR3912			
							RP11-165H20.1				MIR3936			
							SLC2A7				MIR3661			
							DENND2C				LOC100505658			
							GBP6				LOC100505678			
							LPPR5				LOC100505841			
							FNDC7				LOC100505894			
							IL28RA				OCLN			
							CYP4Z2P				LOC100507387			
							CITED4				MIR4804			
							FLJ40434				MIR4633			
							C1orf177				MIR4634			
							KANK4				MIR4461			
							SASS6				MIR3977			
							FAM43B				MIR4460			
							PPIAL4A				MIR4638			
							HFM1				MIR4803			
							PAQR7				MIR378E			
							UBL4B				LOC100859930			
							EIF2C3							
							EIF2C4							
							ALG14							
							FAM76A							
							LINC00466							
							C1orf168							
							TMEM201							
							TMEM61							
							CYP4Z1							
							CDCP2							
							SLC5A9							
							CC2D1B							
							TXLNA							
							TCTEX1D1							
							SPAG17							
							SLFNL1							
							C1orf126							
							HIPK1							
							SLC44A5							
							AKR7L							
							AKR7A2P1							
							FNDC5							
							EPHX4							
							AKNAD1							
							TMCO4							
							MCOLN2							
							COL24A1							
							PCSK9							
							ST6GALNAC3							
							ZNF683							
							NEGR1							
							MDS2							
							CYP4X1							
							MAGI3							
							BEST4							
							FAM19A3							
							CYP4A22							
							C1orf185							
							LOC284551							
							FAM102B							
							SYPL2							
							CYB561D1							
							LOC284632							
							RSPO1							
							EPHA10							
							ZNF326							
							BTBD8							
							RIMKLA							
							SLC25A34							
							ESPNP							
							PPM1J							
							HIST2H2BA							
							FAM151A							
							LOC339442							
							MTMR9LP							
							ZBTB8OS							
							TFAP2E							
							LOC339505							
							LOC339524							
							C1orf228							
							ZNF642							
							AADACL4							
							PRAMEF5							
							HNRNPCL1							
							PRAMEF9							
							PRAMEF10							
							CCDC18							
							MYBPHL							
							BARHL2							
							HSP90B3P							
							NBPF7							
							TCTEX1D4							
							SERINC2							
							FAM159A							
							FAM131C							
							PADI6							
							BMP8A							
							C1orf187							
							SPATA21							
							CCDC23							
							ATPAF1-AS1							
							HEATR8							
							FAM73A							
							LOC375010							
							APITD1							
							CATSPER4							
							NSUN4							
							TMEM82							
							TRNP1							
							CD164L2							
							LOC388630							
							LDLRAD1							
							GBP7							
							C1orf146							
							FAM69A							
							SLC6A17							
							NOTCH2NL							
							FLJ39739							
							PRAMEF12							
							PRAMEF21							
							PRAMEF8							
							PRAMEF18							
							PRAMEF17							
							PLA2G2C							
							SKINTL							
							UOX							
							FRRS1							
							TMEM200B							
							PRAMEF4							
							PRAMEF13							
							SH2D5							
							C1orf130							
							LOC400752							
							C1orf141							
							GBP1P1							
							FLJ27354							
							MIR137HG							
							NBPF9							
							PRAMEF3							
							LDLRAD2							
							LOC402779							
							MIR101-1							
							MIR137							
							MIR186							
							MIR197							
							MIR30C1							
							MIR30E							
							MIR34A							
							LHX8							
							C1orf180							
							PRAMEF11							
							PRAMEF6							
							LOC440563							
							UQCRHL							
							MINOS1							
							FLJ32224							
							FAM183A							
							ZYG11A							
							FLJ31662							
							LOC440600							
							BCL2L15							
							PRAMEF7							
							PGCP1							
							GEMIN8P4							
							RBMXL1							
							LURAP1							
							PEF1							
							CYB5RL							
							SRG7							
							CYMP							
							KIAA0754							
							LOC643441							
							LOC644242							
							PPIAL4G							
							LOC644961							
							C1orf200							
							PRAMEF19							
							PRAMEF20							
							LOC646471							
							LOC646626							
							EMBP1							
							SRGAP2P2							
							LOC648740							
							LOC649330							
							ZBTB8A							
							NBPF6							
							LOC653160							
							PPIAL4B							
							LOC653513							
							LOC653566							
							PPIAL4C							
							PRAMEF22							
							PRAMEF15							
							FAM72B							
							PRAMEF16							
							SCARNA2							
							SCARNA1							
							SNORA44							
							SNORA55							
							SNORA61							
							SNORA59B							
							SNORA59A							
							SNORA16A							
							SNORD45C							
							SNORD85							
							SNORD99							
							SNORD103A							
							SNORD103B							
							MIR548D1							
							MIR553							
							ZBTB8B							
							LOC728431							
							PPIEL							
							CCDC30							
							FAM72D							
							LOC728855							
							LOC728875							
							RPS15AP10							
							LOC729041							
							LOC729059							
							HSD52							
							PRAMEF14							
							FLJ37453							
							LOC729970							
							LOC729987							
							PFN1P2							
							MIR942							
							MIR760							
							LOC100128071							
							LOC100128787							
							LOC100129046							
							LOC100129138							
							LOC100129196							
							LOC100129269							
							LOC100129620							
							LOC100129924							
							LOC100130000							
							LOC100130197							
							LOC100130557							
							LOC100131060							
							LOC100131564							
							NBPF10							
							ZRANB2-AS1							
							LOC100132774							
							LOC100286793							
							LOC100287722							
							LOC100289178							
							MIR320B1							
							MIR1976							
							MIR1262							
							MIR761							
							NPPA-AS1							
							MIR3115							
							MIR3117							
							MIR4255							
							MIR4253							
							MIR4256							
							MIR4254							
							MIR3659							
							MIR3917							
							MIR3605							
							MIR3671							
							MIR548AA1							
							MIR3675							
							LOC100505768							
							ENO1-AS1							
							ZMYM6NB							
							LOC100506343							
							LOC100506730							
							LOC100506801							
							LOC100506963							
							LOC100507178							
							LOC100507423							
							LOC100507564							
							LOC100507634							
							APITD1-CORT							
							FPGT-TNNI3K							
							GJA9-MYCBP							
							HEATR8-TTC4							
							TMEM56-RWDD3							
							C1orf151-NBL1							
							MIR4695							
							MIR4420							
							MIR4422							
							MIR4781							
							MIR4794							
							MIR4684							
							MIR4711							
							MIR4632							
							MIR2682							
							MIR4423							
							MIR378F							
							RCAN3AS							
							NEGR1-IT1							
							ZRANB2-AS2							
